"concerned, conscious",soucieux
downtown,dans le centre
recipe,recette
"to meet, to comply",respecter
"litter, trash, garbage",détritus
to book,réserver
refund,remboursement
fine,amende
storage room,salle de stockage
shelf,étagère
aisle,rayon
"floor, story",étage
"to delay, to postpone",retarder
handle,une poignée
"to handle, to manage","gérer, s'occuper de"
"to set up, to install",installer
"highway, freeway, motorway",autoroute
fare,"prix de course ou de billet"
"cloth, fabric",tissu
"garment, piece of clothing",vêtement
"task, mission, assignment",devoir
"tap, faucet",robinet
soap dispenser,distributeur de savon
to leak,faire fuiter
"to fix, to repair, to mend",réparer
mechanic,méchanicien
salesperson,vendeur
switch,interrupteur
to lead,diriger
tuned,à l'écoute
balance,solde
to press,appuyer sur
bill,facture
customer,client
recording,enregistrement
representative,représentant
to ship,envoyer
emphasis,accent(mettre l'accent)
keyboard,clavier
to release,libérer
labor-intenstive,nécessite beaucoup de travail
upcoming,prochain
to be concerned,être concerné
waste,déchets
office,bureau(bâtiment)
desk,bureau(mobilier)
to empty,vider
to summarize,résumer
to take off ≠ to land,décoller ≠ atterir
take-off,décollage
"to enhance, to improve",améliorer
"to provide, to supply",fournir
meal,repas
voucher,coupon
timetable,horaire
to conduct survey,mener une enquête
to be willing to,être prêt à
previous,précédent
to design,concevoir
suitcase,valise
luggage,bagage(s)
to address problem,s'occuper d'un problème
profitable,rentable
to complain about,se plaindre à propos de
to greet,saluer
dressing,vinaigrette
seafood,fruit de mer
dish,plat(assiette ou mets)
steamed,cuit à la vapeur
"beverage, drink",boisson
on behalf of,au nom de
credentials,"titre, qualification"
impressive,impressionant
to look forward to,avoir hâte de
"relative, family member",membre de lfamille
to be aware that,être conscient que
estimate,estimation
(to make)arrangements,organisation
flyer,prospectus
defective,défectueux
to discontinue,cesser
rehearsal,répétition
misleading,trompeur
merger,fusionnement
slim,mince
pattern,motif
to act,"agir, jouer"
income,revenu
to emphasize,mettre l'accent sur
roster,liste(de noms)
